,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Imai Lisa'}),frozenset({'Hikawa Sayo'}),0.29535700351150995,0.3296917674600078,0.11392898946547016,0.3857331571994716,1.169981162014492,0.016552216946068718,1.0912329721134928
1,frozenset({'Hikawa Sayo'}),frozenset({'Imai Lisa'}),0.3296917674600078,0.29535700351150995,0.11392898946547016,0.34556213017751486,1.1699811620144922,0.016552216946068718,1.0767148861352156
2,frozenset({'Minato Yukina'}),frozenset({'Hikawa Sayo'}),0.24385485758876316,0.3296917674600078,0.11275848614904409,0.46240000000000003,1.402522130177515,0.03236154714689628,1.2468531111234977
3,frozenset({'Hikawa Sayo'}),frozenset({'Minato Yukina'}),0.3296917674600078,0.24385485758876316,0.11275848614904409,0.34201183431952664,1.4025221301775148,0.03236154714689628,1.149177419671754
4,frozenset({'Imai Lisa'}),frozenset({'Minato Yukina'}),0.29535700351150995,0.24385485758876316,0.10456496293406164,0.35402906208718626,1.4518023778071334,0.032540722904918565,1.1705559771069658
5,frozenset({'Minato Yukina'}),frozenset({'Imai Lisa'}),0.24385485758876316,0.29535700351150995,0.10456496293406164,0.4288,1.4518023778071334,0.032540722904918565,1.2336186913313902
6,frozenset({'Aoba Moca'}),frozenset({'Okusawa Misaki'}),0.26570425282871635,0.27155676941084667,0.08661724541552868,0.32599118942731276,1.2004531875031645,0.014463456898639648,1.0807621787172406
7,frozenset({'Okusawa Misaki'}),frozenset({'Aoba Moca'}),0.27155676941084667,0.26570425282871635,0.08661724541552868,0.3189655172413793,1.2004531875031645,0.014463456898639648,1.0782064135679608
8,frozenset({'Minato Yukina'}),frozenset({'Shirokane Rinko'}),0.24385485758876316,0.23761217323449083,0.0795942255169723,0.3264,1.3736669950738918,0.02165134285151902,1.1318109067183926
9,frozenset({'Shirokane Rinko'}),frozenset({'Minato Yukina'}),0.23761217323449083,0.24385485758876316,0.0795942255169723,0.3349753694581281,1.3736669950738918,0.02165134285151902,1.1370182511813414
10,frozenset({'Shirokane Rinko'}),frozenset({'Hikawa Sayo'}),0.23761217323449083,0.3296917674600078,0.07686305111197815,0.32348111658456485,0.9811622506582719,-0.0014757262517146874,0.9908196932447944
11,frozenset({'Shirokane Rinko'}),frozenset({'Imai Lisa'}),0.23761217323449083,0.29535700351150995,0.07647288333983612,0.3218390804597701,1.0896612459952322,0.006292463855439107,1.039049842279638
12,frozenset({'Mitake Ran'}),frozenset({'Aoba Moca'}),0.1701131486539212,0.26570425282871635,0.07569254779555208,0.4449541284403669,1.674621778550162,0.030492760736121602,1.3229460568871059
13,frozenset({'Hikawa Hina'}),frozenset({'Hikawa Sayo'}),0.16543113538821694,0.3296917674600078,0.06984003121342178,0.42216981132075476,1.2804984927989285,0.015298747794364694,1.1600436350896195
14,frozenset({'Shirasagi Chisato'}),frozenset({'Hikawa Sayo'}),0.1681623097932111,0.3296917674600078,0.06398751463129146,0.3805104408352668,1.154139952497975,0.008545785495410317,1.0820331394184894
15,frozenset({'Tsurumaki Kokoro'}),frozenset({'Okusawa Misaki'}),0.17206398751463128,0.27155676941084667,0.06164650799843933,0.35827664399092973,1.319343446190737,0.0149213674170178,1.1351359176318607
16,frozenset({'Seta Kaoru'}),frozenset({'Okusawa Misaki'}),0.16230979321108077,0.27155676941084667,0.06125634022629731,0.37740384615384615,1.3897788185234305,0.01718001713815364,1.1700092043439683
17,frozenset({'Yamabuki Saaya'}),frozenset({'Imai Lisa'}),0.15606710885680844,0.29535700351150995,0.060085836909871244,0.38499999999999995,1.3035072655217963,0.013990323291219665,1.1457609698999838
18,"frozenset({'Imai Lisa', 'Minato Yukina'})",frozenset({'Hikawa Sayo'}),0.10456496293406164,0.3296917674600078,0.05813499804916114,0.5559701492537313,1.686333127263093,0.023660790605040158,1.5096017337875456
19,"frozenset({'Imai Lisa', 'Hikawa Sayo'})",frozenset({'Minato Yukina'}),0.11392898946547016,0.24385485758876316,0.05813499804916114,0.5102739726027398,2.0925315068493155,0.030352860547827216,1.544016654434134
20,"frozenset({'Minato Yukina', 'Hikawa Sayo'})",frozenset({'Imai Lisa'}),0.11275848614904409,0.29535700351150995,0.05813499804916114,0.5155709342560554,1.7455856069990356,0.024830989459685378,1.4545844713226688
21,frozenset({'Shirasagi Chisato'}),frozenset({'Maruyama Aya'}),0.1681623097932111,0.24541552867733124,0.05462348809988295,0.3248259860788863,1.323575520381853,0.01335384593838089,1.1176148011686262
22,frozenset({'Hanazono Tae'}),frozenset({'Hikawa Sayo'}),0.17206398751463128,0.3296917674600078,0.05462348809988295,0.31746031746031744,0.9629003475157322,-0.0021045920600325507,0.9820795034888259
23,frozenset({'Mitake Ran'}),frozenset({'Minato Yukina'}),0.1701131486539212,0.24385485758876316,0.05111197815060476,0.30045871559633025,1.232121100917431,0.009629060511626715,1.0809156789878664
24,frozenset({'Toyama Kasumi'}),frozenset({'Ichigaya Arisa'}),0.14319157237612173,0.2017167381974249,0.047990635973468594,0.335149863760218,1.661487622470868,0.019106499056396827,1.2006965454161682
25,frozenset({'Hazawa Tsugumi'}),frozenset({'Hikawa Sayo'}),0.129535700351151,0.3296917674600078,0.04721030042918455,0.36445783132530124,1.1054502031795825,0.004503446431243632,1.0547030009634004
26,frozenset({'Udagawa Ako'}),frozenset({'Shirokane Rinko'}),0.12290284822473664,0.23761217323449083,0.03979711275848615,0.3238095238095238,1.3627648760653688,0.010593899895097694,1.127474955075753
27,"frozenset({'Minato Yukina', 'Hikawa Sayo'})",frozenset({'Shirokane Rinko'}),0.11275848614904409,0.23761217323449083,0.03940694498634413,0.3494809688581315,1.4708041431582777,0.012614156041838534,1.171968520932086
